Veterinary medicine,Diplomate of the American College of Veterinary Nephrology and Urology,DACVNU,Provisional recognition was granted by the American Board of Veterinary Specialties in 2022.[80],
Veterinary medicine,Diplomate of the American College of Ophthalmologists,DACVO,[81],
Veterinary medicine,Diplomate of the American College of Veterinary Pathologists,DACVP,Used by veterinarians who have pursued specialized training in either anatomic or clinical pathology and achieved board certification.[82],
Veterinary medicine,Diplomate of the American College of Veterinary Preventive Medicine,DACVPM,[83],
Veterinary medicine,Diplomate of the American College of Veterinary Radiology,DACVR,[84],
Veterinary medicine,Diplomate of the American College of Veterinary Sports Medicine and Rehabilitation,DACVSMR,[85],
Veterinary medicine,Diplomate of the American College of Veterinary Surgery,DAVCS,Used by veterinarians who have pursued specialized training in either small or large animal surgery and achieved board certification.[86],
Veterinary medicine,Diplomate of the American College of Zoological Medicine,DACZM,[87],
Veterinary medicine,Diplomate of the American College of Veterinary Emergency and Critical Care,DACVECC,[88],
Veterinary medicine,Diplomate of the American Veterinary Dental College,DAVDC,[89],
Veterinary medicine,Certified Veterinary Technician,CVT,Credentialed veterinary nurses are recognized by titles that vary by state. All veterinary nurses are required to attend an AVMA-approved program and pass the Veterinary Technician National Exam to become credentialed.[90],
Veterinary medicine,Licensed Veterinary Medical Technician,LVMT,,
Veterinary medicine,Licensed Veterinary Technician,LVT,,
Veterinary medicine,Registered Veterinary Technician,RVT,,
Veterinary medicine,Veterinary Technician Specialist,VTS,"Credentialed veterinary nurses can pursue specialized training in one of 16 NAVTA/CVTS approved academies that specialize in subjects such as dentistry, ophthalmology, or internal medicine. Post-nominal titles typically include the specialty academy's abbreviation to indicate subject (e.g., Jane Doe, LVTS, ADVT)).[91]",
Veterinary medicine,Academy of Dermatology Veterinary Technicians,ADVT,[92],
Veterinary medicine,Academy of Equine Veterinary Nursing Technicians,AEEVT,[93],
Veterinary medicine,Academy of Internal Medicine for Veterinary Technicians,AIMVT,[94],
Veterinary medicine,Academy of Laboratory Animal Veterinary Technicians and Nurses,ALAVTN,[95],
Veterinary medicine,Academy of Physical Rehabilitation Veterinary Technicians,APRVT,[96],
Veterinary medicine,Academy of Veterinary Behavior Technicians,AVBT,[97],
Veterinary medicine,Academy of Veterinary Clinical Pathology Technicians,AVCPT,[98],
Veterinary medicine,Academy of Veterinary Dental Technicians,AVDT,[99],
Veterinary medicine,Academy of Veterinary Emergency & Critical Care Technicians and Nurses,AVEECTN,[100],
Veterinary medicine,Academy of Veterinary Nutrition Technicians,AVNT,[101],
Veterinary medicine,Academy of Veterinary Ophthalmic Technicians,AVOT,[102],
Veterinary medicine,Academy of Veterinary Surgical Technicians,AVST,[103],
Veterinary medicine,Academy of Veterinary Technicians in Anesthesia and Analgesia,AVTAA,[104],
Veterinary medicine,Academy of Veterinary Technicians in Clinical Practice,AVTCP,[105],
Veterinary medicine,Academy of Veterinary Technicians in Diagnostic Imaging,AVTDI,[106],
Veterinary medicine,Academy of Veterinary Zoological Medicine Technicians,AVZMT,[107],
Veterinary medicine,Certified Veterinary Assistant,CVA,,
Workplace learning and performance,Certified Professional in Talent Development,CPTD,Association for Talent Development,
Workplace learning and performance,Associate Professional in Talent Development,APTD,Association for Talent Development,
Workplace learning and performance,Certified Performance Technologist,CPT,International Society for Performance Improvement,
Workplace learning and performance,Certified Professional in Training Management[108],CPTM,Training Industry[109],
Other,Certified Archivist,CA,Academy of Certified Archivists,
Other,Digital Archives Specialist,DAS,Society of American Archivists,
Other,Certified Energy Manager,CEM,Association of Energy Engineers (AEE),
Other,Certified Energy Auditor,CEA,Association of Energy Engineers (AEE),
Other,Certified Environmental Specialist,CES,OSHA.com,
Other,Certified At-Risk Adult Crime Tactics Specialist,CACTS,Georgia Department of Human Services,
Other,American Board Certified Teacher,ABCTE,American Board for Certification of Teacher Excellence[110],
Other,Associate Safety Professional[111],ASP,Board of Certified Safety Professionals,
Other,Associate in Risk Management,ARM,Insurance Institute of America,
Other,Associate Wildlife Biologist,AWB,The Wildlife Society,
Other,Certified Administrative Professional,CAP,International Association of Administrative Professionals (IAAP),
Other,Certified Analytics Professional,CAP,"INFORMS, Institute for Operations Research and the Management Sciences",
Other,Certified Anti-Terrorism Specialist,CAS,,
Other,Certified Assistant Refrigeration Operator,CARO,Refrigerating Engineers & Technicians Association,
Other,Certified Associate in Project Management,CAPM,Project Management Institute,
Other,Certified Biological Safety Professional,CBSP,ABSA International,
Other,Certified Broadcast Meteorologist,CBM or AMS,American Meteorological Society,
Other,Certified Cost Professional,CCP,AACE International,
Other,Certified Cost Technician,CST,AACE International,
Other,Certified Disability Specialist,CDS,,
Other,Certified E-Discovery Specialist,CEDS,Association of Certified E-Discovery Specialists,
Other,Certified Estimating Professional,CEP,AACE International,
Other,Certified Executive Pastry Chef,CEPC,"American Culinary Federation, Inc.",
Other,Certified Experience Analyst,CXA,Human Factors International,
Other,Certified Fire Protection Specialist,CFPS,,
Other,Certified Forensic Claims Consultant,CFCC,AACE International,
Other,Certified Forensic Interviewer,CFI,International Association of Interviewers,
Other,Certified Hazardous Materials Manager,CHMM,Institute of Hazardous Materials Management (IHMM)[112][113][114],
Other,Certified Industrial Refrigeration Operator,CIRO,Refrigerating Engineers & Technicians Association,
Other,Certified Manager[115],CM,,
Other,Certified Master Anti-Terrorism Specialist,CMAS,,
Other,Certified Modeling and Simulation Professional,CMSP,National Training and Simulation Association,
Other,Certified Professional in Accessibility Core Competencies,CPACC,International Association of Accessibility Professionals,
Other,Certified Professional in Web Accessibility,CPWA,International Association of Accessibility Professionals,
Other,Certified Professional Organizer,CPO,Board of Certification for Professional Organizers,
Other,Certified Professional Services Marketer,CPSM,Society for Marketing Professional Services|[116],
Other,Certified Protection Professional[117],CPP,"ASIS International, International Foundation for Protection Officers",
Other,Certified Protection Officer,CPO,International Foundation for Protection Officers,
Other,Certified in Security Supervision and Management,CSSM,International Foundation for Protection Officers,
Other,Certified Institutional Protection Specialist,CIPS,International Foundation for Cultural Property Protection,
Other,Certified Visitor Relations Specialist,CVRS,International Foundation for Cultural Property Protection,
Other,Certified Public Relations Counselor[118],CPRC,Florida Public Relations Association,
Other,Certified Safety Professional,CSP,Board of Certified Safety Professionals,
Other,Certified Sales Engineer,CSE,Certified by the National Association of Sales Engineers (NAASE) via submission online[119],
Other,Certified Scheduling Technician,CST,AACE International,
Other,Certified Senior Advisor,CSA,Society of Certified Senior Advisors,
Other,Certified Systems Engineering Professional,CSEP,International Council on Systems Engineering,
Other,Certified Usability Analyst,CUA,Human Factors International,
Other,Certified Utility Safety Professional[120],CUSP,Utility Safety & Ops Leadership Network,
Other,Certified Wildlife Biologist,CWB,The Wildlife Society,
Other,Certified Youth Development Specialist,CYDS,,
Other,Civil Air Patrol,CAP,,
Other,Credentialed Advocate,CA,"National Advocate Credentialing Program, National Office for Victim Assistance. Designation indicates professional victim advocate credential.",
Other,Designated Erosion Control Inspector,DECI,Lake County Stormwater Management,
Other,Decision & Risk Management Professional,DRMP,AACE International,
Other,Distinguished Toastmaster,DTM,The highest educational achievement in Toastmasters International,
Other,Divemaster[121],DM,Professional Association of Diving Instructors,
Other,Assistant Instructor[121],AI,Professional Association of Diving Instructors,
Other,Open Water Scuba Instructor[121],OWSI,Professional Association of Diving Instructors,
Other,Master Scuba Diver Trainer[121],MSDT,Professional Association of Diving Instructors,
Other,Master Instructor[121],MI,Professional Association of Diving Instructors,
Other,Course Director[121],CD,Professional Association of Diving Instructors,
Other,Doctor of Management,D.M.,,
Other,Doctor of Musical Arts,DMA or D.M.A.,,
Other,Doctor of Naturopathic Medicine,ND or NMD,A professional doctoral degree for naturopathic practitioners in the United States. Holders of the ND or NMD degree are known as naturopathic physicians in states where they may be licensed. The designation NMD is used in Arizona.,
Other,Doctor of Business Administration,DBA or DrBA,,
Other,Doctor of Education,EdD or DEd,,
Other,Doctor of Philosophy,Ph.D.,,
Other,Doctor of Philosophy Candidate,ABD,"Doctor of Philosophy Candidate (""all but dissertation"")",
Other,Doctor of Philosophy Candidate,Ph.C.,Doctor of Philosophy Candidate,
Other,Doctor of Public Health,DrPH or Dr.PH,,
Other,Doctor of Liberal Studies,DLS,,
Other,Doctorate of Strategic Security[122],DSS,Henley-Putnam University,
Other,Earned Value Professional,EVP,AACE International,
Other,Editor in the Life Sciences[123],ELS,Board of Editors in the Life Sciences,
Other,Fellow of The Explorers Club,FEC,The Explorers Club,
Other,Member of The Explorers Club,MEC,The Explorers Club,
Other,Fellow of the Society of Decision Professionals,FSDP,The Society of Decision Professionals,
Other,French Wine Scholar,FWS,,
Other,Investment Adviser Certified Compliance Professional,IACCP,Investment Adviser Association[124] and National Regulatory Services[125],
Other,ISSP Sustainability Associate,ISSP-SA,International Society of Sustainability Professionals,
Other,ISSP Certified Sustainability Professional,ISSP-CSP,International Society of Sustainability Professionals,
Other,Licensed Funeral Director,FD,,
Other,Fellow of the National Speleological Society,FNSS,National Speleological Society,
Other,Master of Arts,MA or M.A.,,
Other,Master Training Specialist,MTS or M.T.S.,,
Other,Master of Fine Arts,MFA or M.F.A.,,
Other,Master of Liberal Arts,MLS or M.L.S.,,
Other,Master of Library Science,MLS or M.L.S.,,
Other,Master of Music,MM or M.M.,,
Other,Master of Science,MS or M.S.,,
Other,Master of Business Administration,MBA or M.B.A.,,
Other,Master of Business and Science,MBS,,
Other,Master of Public Administration,MPA or M.P.A.,,
Other,Master of Transportation Safety Administration[126],MTSA,,
Other,Member of the ACE,ACE,American Cinema Editors,
Other,Member of the ASC,ASC,American Society of Cinematographers,
Other,Member of the CSA[127],CSA,Casting Society of America,
Other,Member of the MPSE[128],MPSE,Motion Picture Sound Editors,
Other,Mobile Certified Marketer[129],MCM,Mobile Marketing Association,
Other,Multi Sport Athlete,MSA,,
Other,National Board Certified Teacher,NBCT,,
Other,Nationally Certified School Psychologist,NCSP,National Association of School Psychologists,
Other,NERC Certified System Operator,NCSO,NERC Personnel Subcommittee (PS) and Personnel Certification Governance Committee (PGSC),
Other,Planning & Scheduling Professional,PSP,AACE International,
Other,Producers Mark,PGA,Producers Guild of America. The post-nominal letters are only used on film credits as a certification mark that certifies that the credited film producer performed a major portion of the film's producing duties.[130],
Other,Portfolio Management Professional,PfMP,Project Management Institute,
Other,Professional Certified Investigator,PCI,,
Other,Professional Manager Certification[131],PMC,The Air University,
Other,Program Management Professional,PgMP,Project Management Institute,
Other,Project Management Professional,PMP,Project Management Institute,
Other,Professional Science Masters,PSM,,
Other,Sports Industry Management,SIM,"Sports Management Worldwide, Inc. (SMWW);[132] Columbia University at New York; New York University (NYU)[133]",
Other,Qualified SWPPP Designer,QSD,California Stormwater Quality Association,
Other,Qualified SWPPP Practitioner,QSP,California Stormwater Quality Association,
Other,Registered Business Analyst[134],RBA,American Academy of Financial Management,
Other,"Registered Construction Inspector (Division I, II, III, or IV)",RCI,American Construction Inspectors Association,
Other,Registered Archaeologist,RA,Registry of Professional Archaeologists,
Other,Registered Professional Archaeologist,RPA,Registry of Professional Archaeologists,
Other,RETA Authorized Instructor,RAI,Refrigerating Engineers & Technicians Association,
Other,Systems Security Certified Practitioner,SSCP,,
Other,Web Accessibility Specialist,WAS,International Association of Accessibility Professionals,
Academic,​Associate of Arts​,​AA,University of Toronto acronyns,
Academic,Bachelor of Arts​,​​AB,University of Toronto acronyns,
Academic,​Master of Arts,​AM,University of Toronto acronyns,
Academic,​Art Teaching Diploma,​ATD,University of Toronto acronyns,
Academic,Bachelor of Arts,​​​BA,University of Toronto acronyns,
Academic,​Bachelor of Applied Arts,​BAA,University of Toronto acronyns,
Academic,Bachelor of Accounting​,BAcc​,University of Toronto acronyns,
Academic,Bachelor of Agriculture Science​,​​BAgrSc,University of Toronto acronyns,
Academic,​Bachelor of Arts in Music,​BAMus,University of Toronto acronyns,
Academic,​Bachelor of Obstetrics​,​BAO,University of Toronto acronyns,
Academic,​Bachelor of Arts in Religion,​BAR,University of Toronto acronyns,
Academic,Bachelor of Architecture,​BArch,University of Toronto acronyns,
Academic,Bachelor of Applied Science,BASc,University of Toronto acronyns,
Academic,​Bachelor of Business Administration,​BBA,University of Toronto acronyns,
Academic,​Bachelor of Business Management,​BBM,University of Toronto acronyns,
Academic,Bachelor of Surgery,BCh,University of Toronto acronyns,
Academic,​Bachelor of Chemistry​,​​BChe,University of Toronto acronyns,
Academic,​Bachelor of Surgery,​BChir,University of Toronto acronyns,
Academic,​Bachelor of Civil Law,​BCL,University of Toronto acronyns,
Academic,Bachelor of Commerce,BCom,University of Toronto acronyns,
Academic,Bachelor of Commerce,BComm,University of Toronto acronyns,
Academic,​Bachelor of Computer Science,​BCS,University of Toronto acronyns,
Academic,​Bachelor of Divinity,​BD,University of Toronto acronyns,
Academic,​Bachelor of Dental Surgery,​BDS,University of Toronto acronyns,
Academic,​Bachelor of Dental Science,​BDSc,University of Toronto acronyns,
Academic,​Bachelor of Engineering,​BE,University of Toronto acronyns,
Academic,​Bachelor of Economics,​BEc,University of Toronto acronyns,
Academic,Bachelor of Education,BEd,University of Toronto acronyns,
Academic,Bachelor of Engineering,BEng,University of Toronto acronyns,
Academic,​Bachelor of Environmental Studies,​BES,University of Toronto acronyns,
Academic,​Bachelor of Fine Arts,​BFA,University of Toronto acronyns,
Academic,​Bachelor of Health Administration; Bachelor of Healthcare Administration; Bachelor of Humanities and Arts,​BHA,University of Toronto acronyns,
Academic,​Bachelor of Health Science in Physiotherapy,​BHScPT,University of Toronto acronyns,
Academic,​Bachelor of Independent Studies; Bachelor of Interdisciplinary Studies,​BIS,University of Toronto acronyns,
Academic,Bachelor of Letters,BLitt,University of Toronto acronyns,
Academic,​Bachelor of Landscape Architecture; Bachelor of Liberal Arts,​BLA,University of Toronto acronyns,
Academic,​Bachelor of Liberal Studies; Bachelor of Library Science,​BLS,University of Toronto acronyns,
Academic,​Bachelor of Medicine; Bachelor of Music,​BM,University of Toronto acronyns,
Academic,Bachelor of Mathematics,BMath,University of Toronto acronyns,
Academic,​Bachelor of Mechanical Engineering;,​BME,University of Toronto acronyns,
Academic,Bachelor of Music Education,,University of Toronto acronyns,
Academic,Bachelor of Medical Science,BMedSc,University of Toronto acronyns,
Academic,Bachelor of Medical Library Science​,​​​BMLS,University of Toronto acronyns,
Academic,Bachelor of Medical Rehabilitation​ in Physical Therapy​,​​BMR(PT),University of Toronto acronyns,
Academic,Bachelor of Music,BMus,University of Toronto acronyns,
Academic,​Bachelor of Nursing,​BN,University of Toronto acronyns,
Academic,Bachelor of Nursing Science,BNSc,University of Toronto acronyns,
Academic,​Bachelor of Occupational Therapy,​BOTh,University of Toronto acronyns,
Academic,​Bachelor of Physical Health and Education,​BPHE,University of Toronto acronyns,
Academic,​Bachelor of Philosophy,​BPhil,University of Toronto acronyns,
Academic,Bachelor of Pharmacy,BPhm,University of Toronto acronyns,
Academic,Bachelor of Physiotherapy,BPT,University of Toronto acronyns,
Academic,​Bachelor of Science,​BS,University of Toronto acronyns,
Academic,​Bachelor of Science and Arts; Bachelor of Science in Accounting,​BSA,University of Toronto acronyns,
Academic,Bachelor of Science,BSc,University of Toronto acronyns,
Academic,​Bachelor of Science in Community Development,​BSc(CD),University of Toronto acronyns,
Academic,​Bachelor of Science in Computer and Communications Engineering,​BSCCE,University of Toronto acronyns,
Academic,​Bachelor of Science in Dentistry,​BScD,University of Toronto acronyns,
Academic,​Bachelor of Science in Forestry,​BScF,University of Toronto acronyns,
Academic,​Bachelor of Science in Chemical Engineering,​BSChE,University of Toronto acronyns,
Academic,Bachelor of Science in Electrical Engineering,BScEE,University of Toronto acronyns,
Academic,​Bachelor of Science in Medicine,​BScMed,University of Toronto acronyns,
Academic,​Bachelor of Science in Nursing,​BScN,University of Toronto acronyns,
Academic,Bachelor of Science in Occupational Therapy,BSc(OT),University of Toronto acronyns,
Academic,​Bachelor of Science in Pharmacy,​BScPhm,University of Toronto acronyns,
Academic,Bachelor of Science in Physical Therapy,BSc(PT),University of Toronto acronyns,
Academic,​Bachelor of Science in Engineering,​BSE,University of Toronto acronyns,
Academic,​Bachelor of Science in Education,​BSEd,University of Toronto acronyns,
Academic,​Bachelor of Science in Forestry,​BSF,University of Toronto acronyns,
Academic,​Bachelor of Science in Nursing,​BSN,University of Toronto acronyns,
Academic,​Bachelor of Science in Pharmacy,​BSP,University of Toronto acronyns,
Academic,​Bachelor of Social Work,​BSW,University of Toronto acronyns,
Academic,Bachelor of Technology,BTech,University of Toronto acronyns,
Academic,Bachelor of Theology,BTh,University of Toronto acronyns,
Academic,Bachelor of Surgery,ChB,University of Toronto acronyns,
Academic,Certified Psychologist​,​CPsych,University of Toronto acronyns,
Academic,​Doctor of Arts,​DA,University of Toronto acronyns,
Academic,​Doctor of Business Administration,​DBA,University of Toronto acronyns,
Academic,Doctor of Chemistry,DChem,University of Toronto acronyns,
Academic,​Doctor of Civil Law,​DCl,University of Toronto acronyns,
Academic,​doctorat d’université (University Doctorate),​DDeL’UN,University of Toronto acronyns,
Academic,Doctor of Dental Surgery​,​DDS,University of Toronto acronyns,
Academic,Doctor of Dental Science,​DDSc,University of Toronto acronyns,
Academic,​Doctor of Engineering,​DE,University of Toronto acronyns,
Academic,doctorat ès lettres (Doctor of Letters),DèsL,University of Toronto acronyns,
Academic,​Doctor of Fine Arts,​DFA,University of Toronto acronyns,
Academic,Diploma in Gynecology and Obstetrics,​DGO,University of Toronto acronyns,
Academic,​Doctor of Health Administration,​DHA,University of Toronto acronyns,
Academic,​Diploma of the Imperial College,​DIC,University of Toronto acronyns,
Academic,Diploma in Investigative and Forensic Accounting,DIFA,University of Toronto acronyns,
Academic,​Diploma in Industrial Health,​DIH ,University of Toronto acronyns,
Academic,Graduate Diploma in Community Health,DipCH,University of Toronto acronyns,
Academic,Diploma in Chemistry,DipChem,University of Toronto acronyns,
Academic,​Diploma in Criminology,DipCrim​,University of Toronto acronyns,
Academic,Diplôme des Études Supérieures,DipdESup,University of Toronto acronyns,
Academic,Diploma of Education,DipEd,University of Toronto acronyns,
Academic,Diploma in Forestry,​DipFor,University of Toronto acronyns,
Academic,​Diploma of Engineer,​DipIng,University of Toronto acronyns,
Academic,Master of Architecture,DipIngArch,University of Toronto acronyns,
Academic,​Diploma in Geology,​DiplGeol,University of Toronto acronyns,
Academic,​Diploma in Librarianship,​DipLib,University of Toronto acronyns,
Academic,Post-Master’s Nurse Practitioner Diploma,DipNP,University of Toronto acronyns,
Academic,​Diploma in Oral Health,​DipOrH,University of Toronto acronyns,
Academic,Diploma in Occupational Therapy,DipOT,University of Toronto acronyns,
Academic,​Diploma in Physiotherapy,​DipP,University of Toronto acronyns,
Academic,​Diploma in Physical Education,​DipPE,University of Toronto acronyns,
Academic,Diploma in Periodontics,DipPerio,University of Toronto acronyns,
Academic,​Diploma of Physical Education,​DipPhysEd,University of Toronto acronyns,
Academic,Diploma in Sport and Exercise Medicine,DipSportMed,University of Toronto acronyns,
Academic,Doctor of Letters,DLitt,University of Toronto acronyns,
Academic,Doctor of Musical Arts,DMA,University of Toronto acronyns,
Academic,​Doctor of Medical Dentistry,​DMD,University of Toronto acronyns,
Academic,​Doctor of Paediatrics,​DP,University of Toronto acronyns,
Academic,​Doctor of Public Health,​DPH,University of Toronto acronyns,
Academic,Doctor of Philosophy,DPhil,University of Toronto acronyns,
Academic,​​Diploma in Public Health Nursing,DPHN​,University of Toronto acronyns,
Academic,​Doctor of Podiatric Medicine,​DPM,University of Toronto acronyns,
Academic,Doctor of Psychology,DPsych,University of Toronto acronyns,
Academic,​Doctor of Engineering,​DrEng,University of Toronto acronyns,
Academic,Doctor of Medicine,DrMed,University of Toronto acronyns,
Academic,Doctorate in Dental Medicine,DrMedDent,University of Toronto acronyns,
Academic,​Doctor of Medical Sciences,​DrMedSc,University of Toronto acronyns,
Academic,Doctorate in Veterinary Medicine,DrMedVet,University of Toronto acronyns,
Academic,Doctorate in Natural Sciences,DrRerNat,University of Toronto acronyns,
Academic,Doctor of Economics and Social Sciences,DrRerPol,University of Toronto acronyns,
Academic,Doctor of Science,DSc,University of Toronto acronyns,
Academic,Diploma in Social Service Administration,DSSA,University of Toronto acronyns,
Academic,​Doctor of Social Work,​DSW,University of Toronto acronyns,
Academic,Doctor of Theology,DTh,University of Toronto acronyns,
Academic,​Doctor of Veterinary Medicine,​DVM,University of Toronto acronyns,
Academic,Doctor of Education,EdD,University of Toronto acronyns,
Academic,Global Professional Master of Laws,GPLLM,University of Toronto acronyns,
Academic,Graduate Diploma in Anaesthesia Care,GDipNPAC,University of Toronto acronyns,
Academic,Graduate Diploma of Advanced Study in Information,GDipISt,University of Toronto acronyns,
Academic,Juris Doctor,JD,University of Toronto acronyns,
Academic,License in Chemical Physics,LicScChem,University of Toronto acronyns,
Academic,​licence ès lettres (Bachelor of Arts),​LèsL,University of Toronto acronyns,
Academic,Doctor of Letters,LittD,University of Toronto acronyns,
Academic,​Bachelor of Laws,​LLB,University of Toronto acronyns,
Academic,​Doctor of Laws,​LLD,University of Toronto acronyns,
Academic,Master of Laws,LLM,University of Toronto acronyns,
Academic,​License in Theology,​LTh,University of Toronto acronyns,
Academic,Master of Arts,MA,University of Toronto acronyns,
Academic,​Master of Accounting,​MAcct,University of Toronto acronyns,
Academic,Master of Architecture,MArch,University of Toronto acronyns,
Academic,Master of Applied Science,MASc,University of Toronto acronyns,
Academic,​Master of Arts in Teaching,​MAT,University of Toronto acronyns,
Academic,​Bachelor of Medicine,​MB,University of Toronto acronyns,
Academic,Bachelor of Medicine and Surgery,MBChB,University of Toronto acronyns,
Academic,Master of Biotechnology,MBiotech,University of Toronto acronyns,
Academic,Master of Business Administration,MBA,University of Toronto acronyns,
Academic,​Bachelor of Medicine/Bachelor of Surgery,​MBBS,University of Toronto acronyns,
Academic,​Master of Counselling,​MC,University of Toronto acronyns,
Academic,​Master of Chemistry,​MChem,University of Toronto acronyns,
Academic,Master of Clinical Science,MClSc,University of Toronto acronyns,
Academic,​Master of Computer Sciences,​MCS,University of Toronto acronyns,
Academic,Doctor of Medicine,MD,University of Toronto acronyns,
Academic,​Doctor of Medicine and Master of Surgery,​MDCM,University of Toronto acronyns,
Academic,Master of Divinity,MDiv,University of Toronto acronyns,
Academic,Master of Dental Surgery​,​MDS,University of Toronto acronyns,
Academic,​Master of Engineering,​ME,University of Toronto acronyns,
Academic,​Master of Economics,​MEc,University of Toronto acronyns,
Academic,Master of Education,MEd,University of Toronto acronyns,
Academic,​Doctor of Medical Science,​MedScD,University of Toronto acronyns,
Academic,Master of Engineering,MEng,University of Toronto acronyns,
Academic,Master of Engineering in Cities Engineering and Management,MEngCEM,University of Toronto acronyns,
Academic,Master of Engineering in Design and Manufacturing,MEngDM,University of Toronto acronyns,
Academic,Master of Engineering in Telecommunications,MEngTel,University of Toronto acronyns,
Academic,Master of Environmental Science,MEnvSc,University of Toronto acronyns,
Academic,​Master of Earth Science,​MESci,University of Toronto acronyns,
Academic,Master of Finance,MF,University of Toronto acronyns,
Academic,​Master of Fine Arts,​MFA,University of Toronto acronyns,
Academic,Master of Forest Conservation,MFC,University of Toronto acronyns,
Academic,​Master of Financial Economics,​MFE,University of Toronto acronyns,
Academic,​Master of Forest Science,​MFS,University of Toronto acronyns,
Academic,Master of Global Affairs,MGA,University of Toronto acronyns,
Academic,Master of Health Informatics,MHI,University of Toronto acronyns,
Academic,Master of Human Kinetics​,​MHK,University of Toronto acronyns,
Academic,​Master of Health Professions Education,​MHPE,University of Toronto acronyns,
Academic,​Master of Health Services Administration,​MHSA,University of Toronto acronyns,
Academic,Master of Health Science,MHSc,University of Toronto acronyns,
Academic,​Master of International Affairs,​MIA,University of Toronto acronyns,
Academic,​Master of Information,​MI,University of Toronto acronyns,
Academic,​Master of Industrial Relations,​MIR,University of Toronto acronyns,
Academic,Master of Industrial Relations and Human Resources,MIRHR,University of Toronto acronyns,
Academic,Master of Information Studies,MISt,University of Toronto acronyns,
Academic,Master of Landscape Architecture,MLA,University of Toronto acronyns,
Academic,​Master of Library and Information Science,​MLIS,University of Toronto acronyns,
Academic,​Master of Library Science,​MLS,University of Toronto acronyns,
Academic,​Master of Library Science​​,​MLSc,University of Toronto acronyns,
Academic,​Master of Music,​MM,University of Toronto acronyns,
Academic,​Master of Management,​MM,University of Toronto acronyns,
Academic,​Master of Mathematics,​MMath,University of Toronto acronyns,
Academic,Master of Medicine,MMed,University of Toronto acronyns,
Academic,Master of Management and Professional Accounting,MMPA,University of Toronto acronyns,
Academic,Master of Management of Innovation,MMI,University of Toronto acronyns,
Academic,Master of Mathematical Finance,MMF,University of Toronto acronyns,
Academic,Master of Museum Studies,MMSt,University of Toronto acronyns,
Academic,Master of Music,MMus,University of Toronto acronyns,
Academic,Master of Nursing,MN,University of Toronto acronyns,
Academic,​Master of Public Administration,​MPA,University of Toronto acronyns,
Academic,​Master of Professional Accountancy,​MPA,University of Toronto acronyns,
Academic,​Master of Physical Education,​MPE,University of Toronto acronyns,
Academic,Master of Public Health,MPH,University of Toronto acronyns,
Academic,Master of Pharmacy,MPharm,University of Toronto acronyns,
Academic,Master of Philosophy,MPhil,University of Toronto acronyns,
Academic,Master of Public Policy,MPP,University of Toronto acronyns,
Academic,​Master of Psychology,​MPsy,University of Toronto acronyns,
Academic,Master of Psychology,MPsych,University of Toronto acronyns,
Academic,​Master of Research​,​MRes,University of Toronto acronyns,
Academic,​ Master of Regional Planning,​​MRP,University of Toronto acronyns,
Academic,​Master of Science,​MS,University of Toronto acronyns,
Academic,​Master of Science in Administration,​MSA,University of Toronto acronyns,
Academic,Master of Science,MSc,University of Toronto acronyns,
Academic,Master of Applied Computing,MScAC,University of Toronto acronyns,
Academic,Master of Science in Biomedical Communications,MScBMC,University of Toronto acronyns,
Academic,Master of Science in Community Health,MScCH,University of Toronto acronyns,
Academic,Master of Science in Dentistry,MScD,University of Toronto acronyns,
Academic,Master of Science in Electrical Engineering,MScEE,University of Toronto acronyns,
Academic,Master of Science in Forestry,MScF,University of Toronto acronyns,
Academic,Master of Science in Occupational Therapy,MScOT,University of Toronto acronyns,
Academic,Master of Science in Pharmacy,MScPhm,University of Toronto acronyns,
Academic,Master of Science in Planning,MScPl,University of Toronto acronyns,
Academic,​Master of Science in Physical Therapy,​MScPT,University of Toronto acronyns,
Academic,​Master of Science (Physical Therapy),​MSc(PT),University of Toronto acronyns,
Academic,Master of Science in Sustainability Management,MScSM,University of Toronto acronyns,
Academic,​Master of Science in Teaching,​MSc(T),University of Toronto acronyns,
Academic,​Master of Science in Dentistry,​MSD,University of Toronto acronyns,
Academic,​Master of Science in Electrical Engineering,​MSEE,University of Toronto acronyns,
Academic,​Master of Science in Nursing,​MSN,University of Toronto acronyns,
Academic,​Master of Social Service,​MSS,University of Toronto acronyns,
Academic,Master of Social Work,MSW,University of Toronto acronyns,
Academic,Master of Studies in Law,MSL,University of Toronto acronyns,
Academic,Master of Teaching,MT,University of Toronto acronyns,
Academic,Master of Technology,MTech,University of Toronto acronyns,
Academic,Master of Theology,MTh,University of Toronto acronyns,
Academic,Master of Urban Design,MUD,University of Toronto acronyns,
Academic,Master of Urban Design Studies,MUDS,University of Toronto acronyns,
Academic,​Bachelor of Music,​MusB,University of Toronto acronyns,
Academic,Bachelor of Music,MusBac,University of Toronto acronyns,
Academic,Doctor of Music,MusD,University of Toronto acronyns,
Academic,Doctor of Music,MusDoc,University of Toronto acronyns,
Academic,Master of Music,MusM,University of Toronto acronyns,
Academic,Master of Visual Studies,MVS,University of Toronto acronyns,
Academic,Doctor of Philosophy,PhD,University of Toronto acronyns,
Academic,Master of Philosophy​,​PHM,University of Toronto acronyns,
Academic,​Bachelor of Science,​SB,University of Toronto acronyns,
Academic,Doctor of Science,ScD,University of Toronto acronyns,
Academic,Doctor of Juridical Science,SJD,University of Toronto acronyns,
Academic,​Master of Science,​SM,University of Toronto acronyns,
